time,from,to,message
2020-09-16 04:16:23,Shutd0wn,lengmo,嗯，保卫为主，防中带攻
2020-09-16 04:16:34,Shutd0wn,lengmo,攻还是辅助防
2020-09-16 04:16:43,lengmo,Shutd0wn,所以这样分析，共筑网络边防就比较合适点
2020-09-16 04:16:52,lengmo,Shutd0wn,和网安的定位比较贴切
2020-09-16 04:17:14,Shutd0wn,lengmo,边防改改呢
2020-09-16 04:17:39,lengmo,Shutd0wn,共保华夏久安 就感觉 有点攻的意思在里面
2020-09-16 04:18:05,Shutd0wn,lengmo,久 这个不好
2020-09-16 04:18:32,Shutd0wn,lengmo,共保华夏宁净    安宁净网
2020-09-16 04:18:43,Shutd0wn,lengmo,净这个词绝对适合网安
2020-09-16 04:21:33,Shutd0wn,lengmo,"铸就网安精英，共保华夏宁净

铸就网安精英，共筑网络边防

铸就网安精英，共保华夏久安"
2020-09-16 04:21:41,Shutd0wn,lengmo,找人问问？
2020-09-16 04:31:26,lengmo,Shutd0wn,嗯
2020-09-16 04:32:18,lengmo,Shutd0wn,铸就网安精英，护卫华夏久安
2020-09-16 04:32:22,lengmo,Shutd0wn,浩哥的意思
2020-09-16 04:32:25,lengmo,Shutd0wn,说护卫
2020-09-16 04:32:37,lengmo,Shutd0wn,我本来还说保卫
2020-09-16 04:40:38,Shutd0wn,lengmo,嗯，护卫可以
2020-09-16 04:40:44,Shutd0wn,lengmo,鹰犬就是护卫嘛
2020-09-16 04:40:56,lengmo,Shutd0wn,鹰护卫
2020-09-16 04:41:05,Shutd0wn,lengmo,哈哈哈
2020-09-16 04:49:12,lengmo,Shutd0wn,铸就网安精英，护卫华夏久安
2020-09-16 04:49:15,lengmo,Shutd0wn,那就这个哈
2020-09-16 04:49:30,Shutd0wn,lengmo,要得
2020-09-16 06:37:29,Shutd0wn,lengmo,今年洵酒定了吗
2020-09-16 08:47:31,lengmo,Shutd0wn,订好了
2020-09-16 08:47:43,lengmo,Shutd0wn,才签的采购合同
2020-09-16 08:48:01,Shutd0wn,lengmo,多少
2020-09-16 08:48:14,lengmo,Shutd0wn,好像50箱啊
2020-09-16 08:48:18,lengmo,Shutd0wn,咋了
2020-09-16 08:48:19,Shutd0wn,lengmo,发些到上海和南京啊
2020-09-16 08:48:28,Shutd0wn,lengmo,50够吗
2020-09-16 08:48:59,lengmo,Shutd0wn,估计50都算了年会的吧
2020-09-16 08:49:05,Shutd0wn,lengmo,人均才一瓶半
2020-09-16 08:49:35,lengmo,Shutd0wn,感觉不够喝？
2020-09-16 08:49:45,Shutd0wn,lengmo,嗯
2020-09-16 08:49:59,lengmo,Shutd0wn,培训应该够了
2020-09-16 08:50:09,Shutd0wn,lengmo,多买点，喝不完可以放第二年喝，这个酒新酒有点冲
2020-09-16 08:50:17,Shutd0wn,lengmo,烈
2020-09-16 08:50:21,Shutd0wn,lengmo,新酒很烈
2020-09-16 08:51:42,lengmo,Shutd0wn,[Facepalm]
2020-09-16 08:51:49,lengmo,Shutd0wn,那要买多少
2020-09-16 08:52:37,Shutd0wn,lengmo,
2020-09-16 08:52:57,Shutd0wn,lengmo,
2020-09-16 08:56:42,lengmo,Shutd0wn,摇酒啊
2020-09-16 08:56:50,lengmo,Shutd0wn,铸网安精英，护华夏久安
2020-09-16 08:56:53,Shutd0wn,lengmo,真的，我实际验证过
2020-09-16 08:57:00,lengmo,Shutd0wn,口号 我准备精简成这样
2020-09-16 08:57:03,lengmo,Shutd0wn,更有气势
2020-09-16 08:57:07,Shutd0wn,lengmo,嗯
2020-09-16 08:57:09,lengmo,Shutd0wn,各减一个字
2020-09-16 08:57:21,lengmo,Shutd0wn,更像口号
2020-09-16 08:57:29,Shutd0wn,lengmo,不减也挺好啊
2020-09-16 08:57:51,lengmo,Shutd0wn,不减就有点平淡，口号肯定是越短越好
2020-09-16 08:58:02,Shutd0wn,lengmo,行
2020-09-16 08:58:04,lengmo,Shutd0wn,就是有点像平述
2020-09-16 08:58:37,lengmo,Shutd0wn,少一个字 就是给人更多想象空间，也有更多解释余地
2020-09-16 23:51:18,lengmo,Shutd0wn,FBI adds 5 Chinese APT41 hackers to its Cyber's Most Wanted List
2020-09-16 23:51:42,lengmo,Shutd0wn,我操
2020-09-16 23:51:44,lengmo,Shutd0wn,操
2020-09-16 23:51:47,lengmo,Shutd0wn,出事了
2020-09-16 23:51:53,lengmo,Shutd0wn,404被爆了
2020-09-16 23:52:05,Shutd0wn,lengmo,牛逼
2020-09-16 23:52:26,lengmo,Shutd0wn,我日
2020-09-16 23:52:30,lengmo,Shutd0wn,照片都有
2020-09-16 23:52:37,Shutd0wn,lengmo,哈哈哈哈
2020-09-16 23:53:24,Shutd0wn,lengmo,编号41
2020-09-16 23:53:38,Shutd0wn,lengmo,下回喝酒喊他们喝41杯
2020-09-16 23:57:48,Shutd0wn,lengmo,
2020-09-16 23:58:01,Shutd0wn,lengmo,
2020-09-16 23:58:12,Shutd0wn,lengmo,
2020-09-16 23:58:27,Shutd0wn,lengmo,
2020-09-16 23:59:24,lengmo,Shutd0wn,
2020-09-16 23:59:29,lengmo,Shutd0wn,
2020-09-17 00:00:11,Shutd0wn,lengmo,他们有啥估值说法
2020-09-17 00:00:37,lengmo,Shutd0wn,后面可以说都是FBI 认证过的
2020-09-17 00:00:45,lengmo,Shutd0wn,看到玫瑰也在里面啊
2020-09-17 00:00:51,lengmo,Shutd0wn,说明时间不长
2020-09-17 00:02:17,lengmo,Shutd0wn,一共5个，我们群里有4个
2020-09-17 00:02:19,lengmo,Shutd0wn,[Awkward][Awkward]
2020-09-17 00:02:59,Shutd0wn,lengmo,404已经和航天科工绑死了吧
2020-09-17 00:09:22,lengmo,Shutd0wn,嗯
2020-09-17 00:11:35,Shutd0wn,lengmo,我们和404没啥合作关键吧？
2020-09-17 00:11:41,Shutd0wn,lengmo,关联
2020-09-17 00:11:57,lengmo,Shutd0wn,没有
2020-09-17 00:12:07,lengmo,Shutd0wn,陪标算不算
2020-09-17 00:13:41,Shutd0wn,lengmo,都是喝酒理事会成员单位
2020-09-17 00:19:18,Shutd0wn,lengmo,14号在马来还逮捕了2个同伙
2020-09-17 00:19:30,Shutd0wn,lengmo,[Panic]
2020-09-18 03:25:21,lengmo,Shutd0wn,小勇哥 给你送了盒月饼
2020-09-18 03:25:26,lengmo,Shutd0wn,在我这里
2020-09-18 03:27:37,Shutd0wn,lengmo,哦
2020-09-18 03:28:00,Shutd0wn,lengmo,你处理吧
2020-09-18 03:29:09,lengmo,Shutd0wn,我也有一盒
2020-09-18 03:29:20,lengmo,Shutd0wn,月饼现在都没人吃··[Facepalm]
2020-09-18 03:34:53,Shutd0wn,lengmo,质量好的吃起来还不错，早饭吃
2020-09-18 03:35:57,lengmo,Shutd0wn,我不喜欢吃那玩意·
2020-09-18 03:45:29,Shutd0wn,lengmo,
2020-09-18 03:45:34,Shutd0wn,lengmo,安恒真不要脸
2020-09-18 03:45:46,lengmo,Shutd0wn,这个有点傻
2020-09-18 03:45:50,lengmo,Shutd0wn,这个是扫盲的
2020-09-18 03:45:57,Shutd0wn,lengmo,满眼都是安恒两个字、
2020-09-18 03:46:14,lengmo,Shutd0wn,这个不是在教育厅备案的比赛
2020-09-18 03:46:25,lengmo,Shutd0wn,每年高校的比赛没有这个
2020-09-18 03:46:28,Shutd0wn,lengmo,属于自己搞的？
2020-09-18 03:46:47,lengmo,Shutd0wn,就是和教育厅哪个处搞的
2020-09-18 03:47:00,lengmo,Shutd0wn,不是那种在大学生比赛名单里的赛事
2020-09-18 03:47:04,Shutd0wn,lengmo,嗯
2020-09-18 03:50:49,lengmo,Shutd0wn,郫县公司附近那个吃鹅的叫啥名字来着
2020-09-18 03:52:46,Shutd0wn,lengmo,清汤鹅
2020-09-18 03:53:01,lengmo,Shutd0wn,看看还开不开·
2020-09-18 03:53:08,lengmo,Shutd0wn,[Smirk]
2020-09-18 03:54:13,Shutd0wn,lengmo,好像倒闭了
2020-09-18 03:54:23,Shutd0wn,lengmo,因为我很久没去吃
2020-09-18 03:54:34,lengmo,Shutd0wn,好像是倒闭了
2020-09-18 03:59:47,lengmo,Shutd0wn,
2020-09-18 03:59:53,lengmo,Shutd0wn,[Sweats]
2020-09-18 04:03:41,lengmo,Shutd0wn,被我开掉的
2020-09-18 04:03:59,Shutd0wn,lengmo,😲
2020-09-18 04:06:46,Shutd0wn,lengmo,我好想都没看到长啥样
2020-09-18 04:07:20,lengmo,Shutd0wn,
2020-09-18 04:07:34,lengmo,Shutd0wn,左边这个
2020-09-18 04:07:36,Shutd0wn,lengmo,左边的像翠花
2020-09-18 04:07:40,lengmo,Shutd0wn,·····
2020-09-18 04:07:48,Shutd0wn,lengmo,你能不能换个审美
2020-09-18 04:07:54,Shutd0wn,lengmo,一眼就看穿了
2020-09-18 04:07:59,lengmo,Shutd0wn,不像啊·
2020-09-18 04:08:17,Shutd0wn,lengmo,这种类型
2020-09-18 04:08:49,lengmo,Shutd0wn,这倒有可能··哈哈·
2020-09-18 04:14:16,lengmo,Shutd0wn,你那个月饼，我给黄乐了·
2020-09-18 04:14:27,Shutd0wn,lengmo,要得
2020-09-18 07:44:41,Shutd0wn,lengmo,c404_indictment_0.docx
2020-09-18 07:44:42,Shutd0wn,lengmo,wong_indictment_redacted_0.docx
2020-09-18 07:44:43,Shutd0wn,lengmo,zhr_indictment_redacted_0.docx
2020-09-18 07:46:11,lengmo,Shutd0wn,翻译过后的啊
2020-09-18 07:46:30,Shutd0wn,lengmo,嗯
2020-09-18 07:46:56,Shutd0wn,lengmo,公司妹子翻译的
2020-09-18 07:46:57,lengmo,Shutd0wn,牛逼
2020-09-18 07:47:00,lengmo,Shutd0wn,哈哈
2020-09-18 09:00:01,lengmo,Shutd0wn,
2020-09-18 13:23:24,lengmo,Shutd0wn,新疆那边鼓捣让我们在新疆搞分公司[Facepalm]
2020-09-18 13:23:38,lengmo,Shutd0wn,场地他们想办法提供
2020-09-18 13:23:47,Shutd0wn,lengmo,到是可以
2020-09-18 13:24:03,lengmo,Shutd0wn,也是尴尬
2020-09-18 13:24:29,Shutd0wn,lengmo,整！
2020-09-18 13:24:47,lengmo,Shutd0wn,说是TZ 类的公司还没有在新疆设点的
2020-09-18 13:25:00,lengmo,Shutd0wn,让我们做第一家
2020-09-18 13:25:06,Shutd0wn,lengmo,嗯，挺好啊
2020-09-18 13:25:32,lengmo,Shutd0wn,新疆一线，市场倒也还行
2020-09-18 13:25:41,lengmo,Shutd0wn,倒是不差钱
2020-09-22 03:36:01,Shutd0wn,lengmo,盘古把你月饼一起发我这了
2020-09-22 03:36:24,lengmo,Shutd0wn,你吃吧
2020-09-22 03:38:20,lengmo,Shutd0wn,王立宇升正科了·
2020-09-22 03:38:23,lengmo,Shutd0wn,·也是牛逼
2020-09-22 03:38:32,lengmo,Shutd0wn,运气好，到点就升··
2020-09-22 03:39:26,Shutd0wn,lengmo,大宴宾客啊
2020-09-22 03:39:59,lengmo,Shutd0wn,昨晚喝过一场了·
2020-09-22 03:40:09,lengmo,Shutd0wn,萝卜是不是也是正科
2020-09-22 03:42:04,Shutd0wn,lengmo,萝卜是副科主持工作
2020-09-22 03:42:13,Shutd0wn,lengmo,萝卜时间短
2020-09-22 03:42:31,lengmo,Shutd0wn,王立宇现在正科，保留TZ 副大队长职务·
2020-09-22 03:42:41,lengmo,Shutd0wn,王队调走了··
2020-09-22 03:42:56,lengmo,Shutd0wn,之前取证的队长过来做 TZ 的队长
2020-09-22 04:41:49,Shutd0wn,lengmo,以后有机会正大队长，他们正队长是副处吗
2020-09-22 04:44:55,lengmo,Shutd0wn,嗯
2020-09-24 04:30:15,lengmo,Shutd0wn,😂😂404 的一个做安全开发和研究的，投简历过来了
2020-09-24 04:30:18,lengmo,Shutd0wn,尴尬
2020-09-24 04:30:28,lengmo,Shutd0wn,招不招
2020-09-24 04:30:46,Shutd0wn,lengmo,招
2020-09-24 04:31:21,lengmo,Shutd0wn,研究那边怕有啥风险
2020-09-24 04:31:24,lengmo,Shutd0wn,在问我
2020-09-24 04:31:42,Shutd0wn,lengmo,这个人做啥的，不涉及业务关系不大
2020-09-24 04:31:57,lengmo,Shutd0wn,做技术的
2020-09-24 04:32:12,lengmo,Shutd0wn,一些工具和🐎的开发啥的
2020-09-24 04:48:18,lengmo,Shutd0wn,还是个妹纸
2020-09-24 04:48:22,lengmo,Shutd0wn,应届的
2020-09-24 04:48:29,lengmo,Shutd0wn,长得还可以，吉云辉很激动
2020-09-24 04:48:44,Shutd0wn,lengmo,哈哈
2020-09-24 04:49:05,Shutd0wn,lengmo,有照片吗
2020-09-24 04:49:19,lengmo,Shutd0wn,我和HR 强调了，404 那边主要不是我们主动去挖的，这种不行，也不能这么做，他们主动投过来的，可以招
2020-09-24 04:49:27,Shutd0wn,lengmo,嗯
2020-09-24 04:49:28,lengmo,Shutd0wn,【安全研究（软件方向）_成都】唐文涵 1年.docx
2020-09-24 05:24:03,Shutd0wn,lengmo,还可以
2020-09-24 05:24:11,Shutd0wn,lengmo,吉芸辉娶了呗
2020-09-24 05:50:12,lengmo,Shutd0wn,😂
2020-09-25 02:42:14,lengmo,Shutd0wn,你在公司么
2020-09-25 02:51:36,Shutd0wn,lengmo,76
2020-09-25 02:53:05,lengmo,Shutd0wn,到前面和白总商量下广西分公司的事情咋弄呢
2020-09-25 02:53:32,Shutd0wn,lengmo,他来了吗
2020-09-25 02:53:45,lengmo,Shutd0wn,他说在公司
2020-09-25 02:53:50,Shutd0wn,lengmo,不是之前我们讨论过了么
2020-09-25 02:54:11,Shutd0wn,lengmo,就按我们两上次说的啊
2020-09-25 02:55:08,lengmo,Shutd0wn,还有些问题之前没考虑到，看看咋弄
2020-09-25 02:56:26,Shutd0wn,lengmo,我一会过来
2020-09-25 02:56:45,lengmo,Shutd0wn,好👌
2020-09-25 07:42:55,lengmo,Shutd0wn,200925
2020-09-25 07:42:59,lengmo,Shutd0wn,你看下钉钉
2020-09-25 08:07:31,Shutd0wn,lengmo,嗯
2020-09-25 08:09:49,lengmo,Shutd0wn,有些出调研报告的，就是让先看看的
2020-09-25 08:09:59,lengmo,Shutd0wn,还是支撑了很多啊·
2020-09-25 08:12:10,Shutd0wn,lengmo,嗯
2020-09-25 14:31:08,lengmo,Shutd0wn,这个业绩数字压力还是大啊
2020-09-25 14:54:34,Shutd0wn,lengmo,要么倒闭
2020-09-25 14:54:55,lengmo,Shutd0wn,估计有可能[Facepalm]
2020-09-25 14:55:12,Shutd0wn,lengmo,唉
2020-09-25 14:55:50,lengmo,Shutd0wn,尴尬
2020-09-25 14:56:18,lengmo,Shutd0wn,数字有点难看，又遇上疫情
2020-09-25 14:56:33,lengmo,Shutd0wn,预算也有的被砍了
2020-09-27 03:28:34,lengmo,Shutd0wn,
2020-09-27 03:34:35,lengmo,Shutd0wn,A-team 来成都后，麻痹，定向挖人
2020-09-27 03:34:42,lengmo,Shutd0wn,我们薪资确实也低
2020-09-27 03:47:04,lengmo,Shutd0wn,这个事情咋弄···
2020-09-27 03:47:46,lengmo,Shutd0wn,我觉得这次不能让他们挖走··不然后面连锁反应太坏了··之前去了一个，觉得正常流动，无所谓
2020-09-27 03:48:03,Shutd0wn,lengmo,嗯
2020-09-27 03:48:06,lengmo,Shutd0wn,这次像这种批量，定向的挖，对案件这块的技术打击很大
2020-09-27 03:48:40,Shutd0wn,lengmo,我们要把人留下来
2020-09-27 03:48:43,Shutd0wn,lengmo,老何回了
2020-09-27 03:49:30,lengmo,Shutd0wn,我觉得核心我们要留住
2020-09-27 03:49:32,lengmo,Shutd0wn,实习生无所谓
2020-09-27 03:49:36,Shutd0wn,lengmo,嗯
2020-09-27 03:56:08,lengmo,Shutd0wn,年底统一调吧··起码是核心吧·
2020-09-27 03:56:13,lengmo,Shutd0wn,要有竞争力
2020-09-27 03:56:31,Shutd0wn,lengmo,还是原来的思路，骨干核心适配合适的待遇
2020-09-27 03:56:38,Shutd0wn,lengmo,其他的就放养
2020-09-27 03:58:02,lengmo,Shutd0wn,说主要我们的人 ，能干，又便宜··
2020-09-27 03:58:18,lengmo,Shutd0wn,无声他们挖不动，无声的价格高
2020-09-27 03:58:26,Shutd0wn,lengmo,，，，，
2020-09-27 03:58:27,lengmo,Shutd0wn,无声的到我们这边面试，都说我们的便宜
2020-09-27 03:58:31,lengmo,Shutd0wn,不来
2020-09-27 03:58:44,lengmo,Shutd0wn,便宜又能干，不挖我们的，挖谁的
2020-09-27 04:00:37,Shutd0wn,lengmo,案件组也是今年成长起来的
2020-09-27 04:00:52,Shutd0wn,lengmo,还没来得及调待遇
2020-09-27 04:03:08,lengmo,Shutd0wn,现在我们虽然在行业内口碑好，能力强，但都是赔本赚吆喝的多，所以公司也没挣到钱，技术人员的工资就偏低，对于外面公司来讲，我们的技术就是便宜又能干。所以要压着销售，以后赔本赚吆喝的事情少干。我们现在不需要口碑了，还是要有项目。
2020-09-27 04:04:28,Shutd0wn,lengmo,嗯
2020-09-27 04:07:06,lengmo,Shutd0wn,而且说 案件的人在抱怨说，和技术部的差距太大，说 技术部 16-18 薪
2020-09-27 04:07:16,lengmo,Shutd0wn,觉得不公平··[Facepalm]
2020-09-27 04:07:37,Shutd0wn,lengmo,年底修正过来
2020-09-27 04:07:45,Shutd0wn,lengmo,之前没想这么多
2020-09-27 04:07:59,lengmo,Shutd0wn,嗯··就是平衡下··现在人多了，案件现在和 APT 都同等重要
2020-09-27 08:27:34,Shutd0wn,lengmo,铺全国的话，四哥这类角色是有用的
2020-09-27 08:27:41,Shutd0wn,lengmo,用好可以省很多麻烦
2020-09-27 09:06:15,lengmo,Shutd0wn,和何春林说过了
2020-09-27 09:06:34,Shutd0wn,lengmo,他什么个想法
2020-09-27 09:06:35,lengmo,Shutd0wn,他说他先问下广西那边的情况
2020-09-27 09:06:47,Shutd0wn,lengmo,嗯，估计要看看他们本地的接触情况再定
2020-09-27 09:06:48,lengmo,Shutd0wn,说那边如果有合作意向，肯定可以合作，就是看一年能出多少业绩
2020-09-27 09:07:00,lengmo,Shutd0wn,说节后再定，看咋弄
2020-09-27 09:07:23,lengmo,Shutd0wn,他意思本地他们有售前和销售··但是一般不会放技术
2020-09-27 09:08:05,Shutd0wn,lengmo,我们可以放啊，负责支撑
2020-09-27 09:08:35,lengmo,Shutd0wn,我们放也要看本地好不好招，还要看本地能出多少单
2020-09-27 09:09:01,lengmo,Shutd0wn,还有就是我们服务这块毕竟不挣钱··和奇安信怎么分
2020-09-27 09:09:17,Shutd0wn,lengmo,嗯，放技术落地是大趋势
2020-09-27 09:09:44,lengmo,Shutd0wn,我们现在也要控制了··不能盲目答应一些技术支撑了
2020-09-27 09:10:22,lengmo,Shutd0wn,开销大，收回来的业绩不多
2020-09-27 09:10:32,lengmo,Shutd0wn,今年疫情，影响还是很大·
2020-09-27 09:10:45,lengmo,Shutd0wn,陕西今年刚说都还没花钱
2020-09-27 09:11:04,Shutd0wn,lengmo,赶紧卖地啊
2020-09-27 09:11:21,Shutd0wn,lengmo,卖了地就有钱了
2020-09-27 09:13:51,Shutd0wn,lengmo,陕西是财政没预算花？
2020-09-27 09:14:00,lengmo,Shutd0wn,今年紧张吧· 估计
2020-09-27 09:15:49,lengmo,Shutd0wn,江苏今年倒是影响不大
2020-09-27 09:16:46,lengmo,Shutd0wn,文清前两天还说，他们明年预算也没大砍··还新来了个领导··后面都要公开招标
2020-09-27 09:22:40,lengmo,Shutd0wn,我们需要有个金主给笔钱，支撑过这段尴尬的时间
2020-09-27 09:22:51,lengmo,Shutd0wn,青黄不接的··又赶上疫情
2020-09-27 10:10:16,Shutd0wn,lengmo,提笔又和我说珠海培训出人的事
2020-09-27 10:10:38,lengmo,Shutd0wn,没人
2020-09-27 10:16:19,Shutd0wn,lengmo,
2020-09-27 10:16:48,lengmo,Shutd0wn,怀孕了也没人
2020-09-27 10:16:58,Shutd0wn,lengmo,哈哈哈哈哈哈
2020-09-27 14:27:16,lengmo,Shutd0wn,你们谈的推进的咋样啊
2020-09-27 14:37:14,Shutd0wn,lengmo,挺乐观
2020-09-27 14:37:19,Shutd0wn,lengmo,应该OK
2020-09-27 14:37:26,Shutd0wn,lengmo,你先看房吧
2020-09-27 14:37:47,lengmo,Shutd0wn,能估计套多少啊？这看房也没底气
2020-09-27 14:38:03,lengmo,Shutd0wn,我股份也没多少，套现也有限啊
2020-09-27 14:38:52,Shutd0wn,lengmo,增量很多，我不要，我要了没意义
2020-09-27 14:39:16,lengmo,Shutd0wn,你不套现啊
2020-09-27 14:39:22,lengmo,Shutd0wn,[Awkward][Awkward]
2020-09-27 14:40:04,Shutd0wn,lengmo,套一点就行，我几把太多了，要分出去
2020-09-27 14:40:31,lengmo,Shutd0wn,我不嫌多[Grin]
2020-09-27 14:41:30,Shutd0wn,lengmo,有底气 by TB
2020-09-27 14:41:48,lengmo,Shutd0wn,嗯，那必须的
2020-09-27 14:42:16,lengmo,Shutd0wn,什么时候能定啊？这事，看什么时候到位
2020-09-27 14:52:13,Shutd0wn,lengmo,马上把。你先看房
2020-09-27 15:13:06,lengmo,Shutd0wn,[Awkward][Awkward]
2020-09-27 15:46:57,Shutd0wn,lengmo,哈哈
2020-09-28 08:03:25,Shutd0wn,lengmo,昨天喝断片了
2020-09-28 08:04:06,lengmo,Shutd0wn,羡慕能喝的
2020-09-28 08:05:42,Shutd0wn,lengmo,他们明天过会，没问题的话就开始走正式协议
2020-09-28 08:05:55,lengmo,Shutd0wn,明天就过会？
2020-09-28 08:06:09,lengmo,Shutd0wn,正式协议估计还要走流程嘛
2020-09-28 08:07:07,Shutd0wn,lengmo,嗯，正式协议就快了，几周吧
2020-09-28 08:07:20,lengmo,Shutd0wn,签完就打款么
2020-09-28 08:07:35,Shutd0wn,lengmo,嗯
2020-09-28 08:07:57,lengmo,Shutd0wn,那应该也就 11月份款应该就到了
2020-09-28 08:08:39,Shutd0wn,lengmo,是的，签完就付
2020-09-28 08:09:37,lengmo,Shutd0wn,那之前小川 还有大理我那哥们的股份是要处理完么··还是之后处理
2020-09-28 08:09:51,Shutd0wn,lengmo,
2020-09-28 08:10:20,Shutd0wn,lengmo,
2020-09-28 08:10:56,Shutd0wn,lengmo,
2020-09-28 08:11:15,Shutd0wn,lengmo,
2020-09-28 08:13:15,lengmo,Shutd0wn,那这么算，一个亿估计第一笔也付不了多少啊···估计不够买房的··[Blush]
2020-09-28 08:16:21,Shutd0wn,lengmo,看你买多少钱的
2020-09-28 08:16:44,lengmo,Shutd0wn,估计 900 左右
2020-09-28 08:17:08,Shutd0wn,lengmo,
2020-09-28 08:17:19,Shutd0wn,lengmo,财务自由了
2020-09-28 08:18:11,Shutd0wn,lengmo,
2020-09-28 08:18:32,Shutd0wn,lengmo,
2020-09-28 08:19:57,lengmo,Shutd0wn,两三千W 是包括后面全收的嘛
2020-09-28 08:20:03,Shutd0wn,lengmo,
2020-09-28 08:20:54,Shutd0wn,lengmo,
2020-09-28 08:21:31,Shutd0wn,lengmo,
2020-09-28 08:22:42,lengmo,Shutd0wn,那不是分两次的嘛，这次套现不知道能套多少啊··我看买房怎么个计划
2020-09-28 08:24:15,Shutd0wn,lengmo,
2020-09-28 08:24:44,Shutd0wn,lengmo,
2020-09-28 08:25:27,lengmo,Shutd0wn,这种不还是要交 20% 的税···太坑了
2020-09-28 08:25:40,Shutd0wn,lengmo,纳税光荣
2020-09-28 08:26:25,lengmo,Shutd0wn,那估计就算看好房子了，也只能搞个首付差不多
2020-09-28 08:26:56,Shutd0wn,lengmo,
2020-09-28 08:27:10,Shutd0wn,lengmo,反正我有钱可以借给你
2020-09-28 08:27:24,Shutd0wn,lengmo,我应该没啥大支出
2020-09-28 08:28:43,Shutd0wn,lengmo,打算买哪个楼盘
2020-09-28 08:30:05,lengmo,Shutd0wn,还在看
2020-09-28 08:30:15,lengmo,Shutd0wn,10月份就是刚需了
2020-09-28 08:30:29,lengmo,Shutd0wn,大楼盘应该随便都能摇中
2020-09-28 08:31:42,Shutd0wn,lengmo,你看的那种高价盘应该不需要摇号的
2020-09-28 08:41:23,lengmo,Shutd0wn,要是要，就是摇的人少
2020-09-28 08:42:06,Shutd0wn,lengmo,[Toasted]
2020-09-28 08:45:18,lengmo,Shutd0wn,钱没到都不敢去看
2020-09-29 02:44:42,Shutd0wn,lengmo,王队那个借款咋说，今年能换吗
2020-09-29 02:45:05,lengmo,Shutd0wn,能
2020-09-29 07:55:49,lengmo,Shutd0wn,
2020-09-29 07:55:58,lengmo,Shutd0wn,确实有点尴尬
2020-09-29 07:57:41,Shutd0wn,lengmo,不是有讲课补贴吗
2020-09-29 07:58:58,lengmo,Shutd0wn,有的出差不是讲课
2020-09-29 07:59:11,lengmo,Shutd0wn,是实施项目或者技术支撑
2020-09-29 08:00:14,Shutd0wn,lengmo,回头出差补贴提高下
2020-09-29 08:00:23,Shutd0wn,lengmo,100是很久前定的了
2020-09-29 08:00:33,lengmo,Shutd0wn,嗯
2020-09-29 12:38:08,Shutd0wn,lengmo,机场打车是给报的吧
2020-09-29 12:38:36,lengmo,Shutd0wn,不报
2020-09-29 12:38:47,Shutd0wn,lengmo,大巴？
2020-09-29 12:38:48,lengmo,Shutd0wn,只报机场大巴的费用
2020-09-29 12:40:55,Shutd0wn,lengmo,他这个是什么打车费用
2020-09-29 12:46:51,lengmo,Shutd0wn,不知道啊
2020-09-29 12:47:47,lengmo,Shutd0wn,
2020-09-29 12:52:53,Shutd0wn,lengmo,又不是第一次报销
2020-09-29 12:53:17,Shutd0wn,lengmo,以前怎么没这个问题
2020-09-29 12:56:30,Shutd0wn,lengmo,蒋林可应该要给大家做政策解释的
2020-09-29 12:56:35,Shutd0wn,lengmo,不要有沟通错误
2020-09-29 13:18:22,lengmo,Shutd0wn,说之前能报
2020-09-29 13:18:26,lengmo,Shutd0wn,这次不行了
2020-09-29 13:18:48,Shutd0wn,lengmo,那就说啊
2020-09-29 13:19:45,lengmo,Shutd0wn,
2020-09-29 13:20:09,Shutd0wn,lengmo,那按惯例就结了
2020-09-29 13:20:31,lengmo,Shutd0wn,以前有的打车，我是批了的，财务估计也发了，这次就没给发吧
2020-09-29 13:20:39,Shutd0wn,lengmo,谁审的啊
2020-09-29 13:21:09,Shutd0wn,lengmo,我明天问陶婷婷吧
2020-09-29 13:21:16,Shutd0wn,lengmo,就按惯例就行了
2020-09-29 13:22:27,lengmo,Shutd0wn,譬如上次去成信工搭环境，要很早去，几个人和我说过，早上没法坐几班公交，坐2个小时到成信工，就打车，我也批了的
2020-09-29 13:22:42,Shutd0wn,lengmo,这很合理啊
2020-09-29 13:24:23,lengmo,Shutd0wn,不过从财务角度来看，这种确实不能全部放开，我记得钉钉里面好像有个打车审批的，也防止有人乱打车，不行以后打车就钉钉审批
2020-09-29 13:24:44,lengmo,Shutd0wn,批了的，反正都是起点终点不能改
2020-09-29 13:24:54,lengmo,Shutd0wn,公司充钱好了
2020-09-29 13:24:57,Shutd0wn,lengmo,可以
2020-09-29 13:25:23,Shutd0wn,lengmo,有些情况下是可以申请打车的
2020-09-29 13:25:25,Shutd0wn,lengmo,大家可以提
2020-09-29 13:25:34,Shutd0wn,lengmo,弹性审批
2020-09-29 13:25:57,lengmo,Shutd0wn,财务估计是怕有人乱拿票报，不好控制，而且没法确定这个打车就是工作用的
2020-09-29 13:26:05,lengmo,Shutd0wn,也可以理解
2020-09-29 13:26:20,lengmo,Shutd0wn,所以就用企业版滴滴
2020-09-29 13:26:24,lengmo,Shutd0wn,走审批
2020-09-29 13:26:27,lengmo,Shutd0wn,也不用报销
2020-09-29 13:26:34,Shutd0wn,lengmo,嗯
2020-09-29 13:27:04,lengmo,Shutd0wn,批了的，直接公司账户扣
2020-09-29 13:31:44,Shutd0wn,lengmo,回头研究下滴滴企业版，看合不合用
